Employee ID	Employee Name	Manager Name	Business Unit Name	Location Name	Country	Age	Attrition	Attrition Reason	IsVoluntary	Join Date	AttritionDate	BusinessTravel	DailyRate	Department	DistanceFromHome	Education	EducationField	EmployeeCount	EmployeeNumber	EnvironmentSatisfaction	Gender	HourlyRate	JobInvolvement	JobLevel	JobRole	JobSatisfaction	MaritalStatus	MonthlyIncome	MonthlyRate	NumCompaniesWorked	Over18	OverTime	PercentSalaryHike	PerformanceRating	RelationshipSatisfaction	StandardHours	StockOptionLevel	TotalWorkingYears	TrainingTimesLastYear	WorkLifeBalance	YearsAtCompany	YearsInCurrentRole	YearsSinceLastPromotion	YearsWithCurrManager
1282	Cameron Lopez	Gonzalez, Tony	Fin Svcs US Business Unit	 	United States	33	Yes	Personal Reason	No	1/9/2013	1/9/2020	Travel_Rarely	1277	Research & Development	15	1	Medical	1	582	2	Male	56	3	3	Manager	3	Married	13610	24619	7	Y	Yes	12	3	4	80	0	15	2	4	7	6	7	7
1275	Employee 44					44	No			5/7/2017		Travel_Rarely	447	Research & Development	2	3	Medical	1	1472	4	Male	39	4	4	Research Director	2	Single	16598	19764	4	Y	No	12	3	2	80	0	35	2	2	9	8	8	8
540	Carling Dory	Ralestone, Gustaf	US1 Business Unit	Bistro OH	United States	41	No			5/7/2012		Non-Travel	267	Sales	10	2	Life Sciences	1	599	4	Male	56	3	2	Sales Executive	4	Single	6230	13430	7	Y	No	14	3	4	80	0	16	3	3	14	3	1	10
223	Employee 357					36	No			5/7/2021		Travel_Rarely	337	Sales	8	3	Marketing	1	1909	3	Female	54	3	2	Sales Executive	2	Married	4393	26841	5	Y	No	21	4	3	80	1	14	3	3	5	4	1	4
1304	Dorothy Singh	Duw, Cynthia	University US Business Unit	Main Campus	United States	40	Yes	Personal Reason	No	6/30/2020	6/30/2021	Non-Travel	1479	Sales	24	3	Life Sciences	1	986	2	Female	100	4	4	Sales Executive	2	Single	13194	17071	4	Y	Yes	16	3	4	80	0	22	2	2	1	0	0	0
1100	Frances Sanders	Walsh, Ryan	Progress US Business Unit	Hidden Valley Elementary School	United States	35	No			5/7/2013		Non-Travel	1212	Sales	8	2	Marketing	1	1243	3	Female	78	2	3	Sales Executive	4	Married	10377	13755	4	Y	Yes	11	3	2	80	1	16	6	2	13	2	4	12
1045	Gergely Bacskai	Peto, Csaba	Hungary Business Unit	Pécsi iroda	Hungary	31	Yes	Low motivation and job satisfaction	Yes	5/11/2020	5/11/2023	Travel_Frequently	1060	Sales	1	3	Life Sciences	1	1331	4	Female	54	3	1	Sales Representative	2	Single	2302	8319	1	Y	Yes	11	3	1	80	0	3	2	4	3	2	2	2
1305	Andrea Haute	Britton, Cheryl	US1 Business Unit	Redwood City	United States	50	No			5/7/2021		Travel_Rarely	1452	Research & Development	11	3	Life Sciences	1	226	3	Female	53	3	5	Manager	2	Single	19926	17053	3	Y	No	15	3	2	80	0	21	5	3	5	4	4	4
369	Denney Rigney	Liveley, Odey	US1 Business Unit	Bistro PA	United States	33	No			5/7/2023		Travel_Rarely	1198	Research & Development	1	4	Other	1	939	3	Male	100	2	1	Research Scientist	1	Single	2799	3339	3	Y	Yes	11	3	2	80	0	6	1	3	3	2	0	2
1051	Employee 453					38	Yes	Personal Reason	No	12/27/2015	12/27/2021	Travel_Frequently	878	Sales	1	4	Life Sciences	1	2044	2	Male	94	3	2	Sales Executive	3	Divorced	6728	14255	7	Y	No	12	3	4	80	2	12	3	3	6	3	0	1
693	FAS39 Student	Ryan, Christine	US1 Business Unit	~No Value~	~No Value~	34	No			5/7/2013		Travel_Frequently	669	Research & Development	1	3	Medical	1	1184	4	Male	97	2	2	Healthcare Representative	1	Single	5343	25755	0	Y	No	20	4	3	80	0	14	3	3	13	9	4	9
283	Filip Norgaard	Morell, Fiona	Sweden Business Unit	Global Ops	Sweden	44	No			5/7/2006		Travel_Rarely	200	Research & Development	29	4	Other	1	1225	4	Male	32	3	2	Research Scientist	4	Single	4541	7744	1	Y	No	25	4	2	80	0	20	3	3	20	11	13	17
1377	Employee 91					37	No			5/7/2019		Travel_Rarely	441	Research & Development	8	1	Other	1	1544	3	Female	39	1	2	Healthcare Representative	1	Married	9715	7288	3	Y	No	13	3	3	80	1	9	3	3	7	7	0	7
936	Anna Holm	Larsson, Jan	Sweden Business Unit	Kista	Sweden	42	No			5/7/2021		Non-Travel	926	Research & Development	21	2	Medical	1	270	3	Female	36	3	2	Manufacturing Director	3	Divorced	5265	16439	2	Y	No	16	3	2	80	1	11	5	3	5	3	0	2
354	Gaby Harrison	Clarke, Joanne	UK Business Unit	London	United Kingdom	44	No			5/7/2001		Travel_Rarely	1199	Research & Development	4	2	Life Sciences	1	1288	3	Male	92	4	5	Manager	1	Divorced	19190	17477	1	Y	No	14	3	4	80	2	26	4	2	25	9	14	13
818	Employee 448					34	No			5/7/2011		Non-Travel	301	Sales	15	4	Marketing	1	2036	4	Male	88	1	2	Sales Executive	4	Divorced	5406	10436	1	Y	No	24	4	1	80	1	15	4	2	15	12	11	11
439	Fiona Freeman	Collins, Geoff	UK Business Unit	London	United Kingdom	60	No			5/7/2015		Travel_Rarely	696	Sales	7	4	Marketing	1	1233	2	Male	52	4	2	Sales Executive	4	Divorced	5220	10893	0	Y	Yes	18	3	2	80	1	12	3	3	11	7	1	9
451	Emmanuel Baron	Badeaux, Antoine	Singapore Business Unit	Paris	France	51	Yes	Low motivation and job satisfaction	Yes	11/23/2012	11/23/2022	Travel_Rarely	1323	Research & Development	4	4	Life Sciences	1	1081	1	Male	34	3	1	Research Scientist	3	Married	2461	10332	9	Y	Yes	12	3	3	80	3	18	2	4	10	0	2	7
218	Amanda Bell	Lopez, Justin	Supremo US Business Unit	 	United States	43	No			5/7/2023		Travel_Frequently	957	Research & Development	28	3	Medical	1	171	2	Female	72	4	1	Research Scientist	3	Single	4739	16090	4	Y	No	12	3	4	80	0	18	2	3	3	2	1	2
78	Anya Chen	Britton, Cheryl	US1 Business Unit	Redwood City	United States	33	Yes	Personal Reason	Yes	12/14/2017	12/14/2022	Travel_Rarely	813	Research & Development	14	3	Medical	1	325	3	Male	58	3	1	Laboratory Technician	4	Married	2436	22149	5	Y	Yes	13	3	3	80	1	8	2	1	5	4	0	4
810	Employee 420					38	No			5/7/2022		Travel_Rarely	557	Research & Development	18	4	Life Sciences	1	1998	4	Male	35	3	2	Research Scientist	1	Divorced	5410	11189	6	Y	Yes	17	3	3	80	1	9	3	2	4	3	1	2
1172	Employee 455					36	No			5/7/2021		Travel_Rarely	374	Sales	20	3	Life Sciences	1	2046	4	Female	50	3	2	Sales Executive	3	Single	4850	23333	8	Y	No	15	3	3	80	0	8	3	3	5	3	0	1
829	Elaine Dunn	Harrison, Martine	Canada Business Unit	Halifax	Canada	26	No			5/7/2018		Travel_Rarely	1066	Research & Development	2	2	Medical	1	1018	4	Male	32	4	2	Manufacturing Director	4	Married	5472	3334	1	Y	No	12	3	2	80	0	8	2	3	8	7	1	3
471	Donna Troy	Schwartz, Sandra	Fin Svcs UK Business Unit	Manchester	~No Value~	35	No			5/7/2016		Travel_Rarely	882	Sales	3	4	Life Sciences	1	984	4	Male	92	3	3	Sales Executive	4	Divorced	7823	6812	6	Y	No	13	3	2	80	1	12	2	3	10	9	0	8
948	Bailey Landon	Plouffe, Marc	Canada Business Unit	Vancouver	Canada	38	No			5/7/2018		Travel_Rarely	322	Sales	7	2	Medical	1	382	1	Female	44	4	2	Sales Executive	1	Divorced	5605	19191	1	Y	Yes	24	4	3	80	1	8	3	3	8	0	7	7
375	Allie Canas	Gilbody, Ringo	US1 Business Unit	Bistro PA	United States	31	Yes	Personal Reason	Yes	3/24/2013	3/24/2020	Travel_Rarely	249	Sales	6	4	Life Sciences	1	163	2	Male	76	1	2	Sales Executive	3	Married	6172	20739	4	Y	Yes	18	3	2	80	0	12	3	2	7	7	7	7
1044	Birgitte Didriksen	Risager, Sanne	Denmark Business Unit	Ballerup	Denmark	39	Yes	Low motivation and job satisfaction	No	5/31/2019	5/31/2020	Travel_Rarely	1162	Sales	3	2	Medical	1	445	4	Female	41	3	2	Sales Executive	3	Married	5238	17778	4	Y	Yes	18	3	1	80	0	12	3	2	1	0	0	0
247	Frank Arena	Roberts, Jackson	Australia Business Unit	Sydney	Australia	43	No			5/7/2018		Travel_Rarely	920	Research & Development	3	3	Life Sciences	1	1255	3	Male	96	1	5	Research Director	4	Married	19740	18625	3	Y	No	14	3	2	80	1	25	2	3	8	7	0	7
620	Cihangir Kivanc	Gamze, Cimen	Turkey Business Unit	İstanbul Anadolu Ofis	Türkiye	41	No			5/7/2004		Travel_Rarely	314	Human Resources	1	3	Human Resources	1	734	4	Male	59	2	5	Manager	3	Married	19189	19562	1	Y	No	12	3	2	80	1	22	3	3	22	7	2	10
412	Employee 5					25	No			5/7/2019		Travel_Rarely	652	Research & Development	7	3	Other	1	1417	3	Male	100	4	1	Laboratory Technician	1	Single	3578	23577	0	Y	No	12	3	4	80	0	8	2	3	7	7	0	7
422	Caz Hoovart	Eidler, Gordan	US1 Business Unit	Bistro PA	United States	27	No			5/7/2021		Travel_Rarely	798	Research & Development	6	4	Medical	1	655	1	Female	66	2	1	Research Scientist	3	Divorced	2187	5013	0	Y	No	12	3	3	80	2	6	5	2	5	3	0	3
332	Aaron Brady	Moras, Fernando	University US Business Unit	Main Campus	United States	27	No			5/7/2024		Travel_Rarely	591	Research & Development	2	1	Medical	1	7	1	Male	40	3	1	Laboratory Technician	2	Married	3468	16632	9	Y	No	12	3	4	80	1	6	3	3	2	2	2	2
988	Amanda Richardson	 	UK Business Unit	Bristol	United Kingdom	31	Yes	Low motivation and job satisfaction	Yes	8/13/2021	8/13/2023	Travel_Rarely	542	Sales	20	3	Life Sciences	1	175	2	Female	71	1	2	Sales Executive	3	Married	4559	24788	3	Y	Yes	11	3	3	80	1	4	2	3	2	2	2	2
1292	Employee 342					36	No			5/7/2016		Travel_Rarely	311	Research & Development	20	3	Life Sciences	1	1881	2	Male	89	3	2	Laboratory Technician	3	Divorced	4197	18624	1	Y	No	11	3	1	80	1	10	2	3	10	8	0	2
1448	Aisha Dogra	Britton, Cheryl	US1 Business Unit	Redwood City	United States	36	No			5/7/2020		Travel_Frequently	1195	Research & Development	11	3	Life Sciences	1	85	2	Male	95	2	2	Manufacturing Director	2	Single	6499	22656	1	Y	No	13	3	3	80	0	6	3	3	6	5	0	3
1352	Employee 285					28	No			5/7/2022		Travel_Rarely	1253	Research & Development	10	1	Medical	1	1800	3	Male	65	3	3	Research Director	3	Single	13464	7914	7	Y	No	21	4	3	80	0	9	3	3	4	3	2	2
125	Alice Miller	Kapoor, Ahaana	University AU Business Unit	Main Campus	Australia	37	No			5/7/2021		Travel_Rarely	1189	Sales	3	3	Life Sciences	1	152	3	Male	87	3	3	Sales Executive	4	Single	7428	14506	2	Y	No	12	3	1	80	0	12	3	3	5	3	1	3
984	Employee 183					49	No			5/7/2023		Non-Travel	894	Research & Development	1	4	Medical	1	1662	4	Female	33	2	2	Manufacturing Director	3	Married	4374	15411	0	Y	No	15	3	3	80	0	4	6	3	3	2	1	2
56	Employee 267					33	No			5/7/2021		Travel_Rarely	548	Research & Development	9	4	Life Sciences	1	1772	3	Male	94	3	1	Laboratory Technician	1	Divorced	2289	20520	1	Y	No	20	4	2	80	2	5	2	3	5	3	0	4
190	Bruce Berry	Fuller, Robert	US1 Business Unit	Chicago	United States	21	No			5/7/2023		Non-Travel	895	Sales	9	2	Medical	1	484	1	Male	39	3	1	Sales Representative	4	Single	2610	2851	1	Y	No	24	4	3	80	0	3	3	2	3	2	2	2
239	Gopi Mitra	Britton, Cheryl	US1 Business Unit	Redwood City	United States	40	No			5/7/2014		Travel_Rarely	1202	Research & Development	2	1	Medical	1	1375	2	Female	89	4	2	Healthcare Representative	3	Divorced	6377	13888	5	Y	No	20	4	2	80	3	15	0	3	12	11	11	8
1247	FAS99 Instructor	Ryan, Christine	US1 Business Unit	~No Value~	~No Value~	43	Yes	Personal Reason	No	4/30/2017	4/30/2021	Travel_Rarely	1372	Sales	9	3	Marketing	1	1188	1	Female	85	1	2	Sales Executive	3	Single	5346	9489	8	Y	No	13	3	2	80	0	7	2	2	4	3	1	3
1012	Christina Lopez	Tidwell, Alex	Supremo US Business Unit	 	United States	50	Yes	Personal Reason	No	3/17/2016	3/17/2020	Travel_Frequently	562	Sales	8	2	Technical Degree	1	723	2	Male	50	3	2	Sales Executive	3	Married	6796	23452	3	Y	Yes	14	3	1	80	1	18	4	3	4	3	1	3
739	Ali Alsanea	Alaqlaa, Fatimah	SA PS Business Unit	 	Saudi Arabia	24	No			5/7/2021		Travel_Rarely	1127	Research & Development	18	1	Life Sciences	1	150	2	Male	52	3	1	Laboratory Technician	3	Married	2774	13257	0	Y	No	12	3	3	80	1	6	2	3	5	3	1	2
130	Cy Rodriguez	King, James	Fin Svcs US Business Unit	 	United States	24	No			5/7/2025		Non-Travel	1092	Research & Development	9	3	Life Sciences	1	812	3	Male	60	2	1	Laboratory Technician	2	Divorced	2694	26551	1	Y	No	11	3	3	80	3	1	4	3	1	0	0	0
980	CRM Student33	Instructor01, CRM	US1 Business Unit	~No Value~	~No Value~	41	No			5/7/2016		Travel_Rarely	645	Sales	1	3	Marketing	1	534	2	Male	49	4	3	Sales Executive	1	Married	8392	19566	1	Y	No	16	3	3	80	1	10	2	3	10	7	0	7
427	Employee 358					41	No			5/7/2013		Travel_Rarely	1396	Research & Development	6	3	Medical	1	1911	3	Male	83	3	3	Research Director	1	Married	13348	14842	9	Y	No	13	3	2	80	1	18	3	4	13	7	5	7
1358	Claudia Vasilescu	Munteanu, Maria	Romania Business Unit	Brasov	Romania	39	No			5/7/2018		Travel_Rarely	141	Human Resources	3	3	Human Resources	1	760	3	Female	44	4	2	Human Resources	2	Married	6389	18767	9	Y	No	15	3	3	80	1	12	3	1	8	3	3	6
740	Avinash Reddy	Durant, Julie	India Business Unit	Global Ops	India	36	No			5/7/2011		Travel_Rarely	1403	Research & Development	6	3	Life Sciences	1	373	4	Male	47	3	1	Laboratory Technician	4	Married	3210	20251	0	Y	No	11	3	3	80	1	16	4	3	15	13	10	11
111	Erica Abner 	Britton, Cheryl	US1 Business Unit	Redwood City	United States	28	No			5/7/2018		Travel_Rarely	857	Research & Development	10	3	Other	1	1097	3	Female	59	3	2	Research Scientist	3	Single	3660	7909	3	Y	No	13	3	4	80	0	10	4	4	8	7	1	7
1334	Employee 235					30	No			5/7/2025		Non-Travel	543	Sales	2	4	Marketing	1	1731	3	Male	87	3	2	Sales Executive	2	Married	4978	3536	7	Y	No	11	3	4	80	1	4	3	1	1	0	0	0
934	Christiaan de Rode	Bruin, Kees	Netherlands Business Unit	Amsterdam	Netherlands	27	No			5/7/2020		Travel_Frequently	1410	Sales	3	1	Medical	1	714	4	Female	71	4	2	Sales Executive	4	Divorced	4647	16673	1	Y	Yes	20	4	2	80	2	6	3	3	6	5	0	4
350	FAS36 Student	Ryan, Christine	US1 Business Unit	~No Value~	~No Value~	30	No			5/7/2016		Travel_Rarely	852	Sales	10	3	Marketing	1	1179	3	Male	72	2	2	Sales Executive	3	Married	6578	2706	1	Y	No	18	3	1	80	1	10	3	3	10	3	1	4
1205	Andy Brose	Ng, Joshua	US1 Business Unit	Chicago	United States	34	No			5/7/2023		Travel_Rarely	629	Research & Development	27	2	Medical	1	247	4	Female	95	3	1	Research Scientist	2	Single	2311	5711	2	Y	No	15	3	4	80	0	9	3	3	3	2	1	2
485	Employee 306					40	No			5/7/2019		Travel_Rarely	431	Research & Development	7	4	Medical	1	1830	4	Female	68	3	2	Research Scientist	4	Married	6854	15696	4	Y	No	15	3	2	80	1	14	2	2	7	1	1	7
614	Employee 290					35	No			5/7/2015		Non-Travel	1336	Human Resources	2	3	Human Resources	1	1805	1	Male	100	3	1	Human Resources	2	Divorced	2592	7129	5	Y	No	13	3	4	80	3	13	3	3	11	10	3	8
284	Employee 100					40	No			5/7/2016		Travel_Rarely	538	Research & Development	1	4	Technical Degree	1	1553	1	Male	66	3	3	Healthcare Representative	2	Divorced	7441	20933	1	Y	No	12	3	1	80	3	10	4	3	10	8	7	7
1291	Cho Han	Cochetti, Paula	US1 Business Unit	Redwood City	United States	36	No			5/7/2023		Travel_Rarely	913	Research & Development	9	2	Medical	1	699	2	Male	48	2	2	Manufacturing Director	2	Divorced	8847	13934	2	Y	Yes	11	3	3	80	1	13	2	3	3	2	0	2
75	Arthur Jackman	Power, Nicole	University AU Business Unit	Main Campus	Australia	37	Yes	Low motivation and job satisfaction	Yes	1/7/2022	1/7/2023	Travel_Frequently	504	Research & Development	10	3	Medical	1	342	1	Male	61	3	3	Manufacturing Director	3	Divorced	10048	22573	6	Y	No	11	3	2	80	2	17	5	3	1	0	0	0
384	Employee 341					22	No			5/7/2016		Travel_Rarely	1266	Sales	10	4	Technical Degree	1	1880	2	Female	63	2	2	Sales Executive	3	Married	5673	6060	1	Y	Yes	13	3	1	80	1	10	4	3	10	9	1	7
528	Attorney B Demo	 	US1 Business Unit	~No Value~	~No Value~	46	No			5/7/2019		Travel_Rarely	488	Sales	2	3	Technical Degree	1	363	3	Female	75	1	4	Manager	2	Married	16872	14977	3	Y	Yes	12	3	2	80	1	28	2	2	7	7	7	7
616	Employee 418					38	No			5/7/2024		Travel_Rarely	1154	Sales	2	2	Life Sciences	1	1996	1	Male	54	3	1	Sales Representative	3	Married	3067	6393	0	Y	No	19	3	3	80	1	3	1	3	2	2	1	2
370	Daniel Ng	Lloyd, James	US1 Business Unit	Store 102 - Downtown Seattle	United States	27	No			5/7/2017		Travel_Rarely	269	Research & Development	5	1	Technical Degree	1	844	3	Male	42	2	3	Research Director	4	Divorced	12808	8842	1	Y	Yes	16	3	2	80	1	9	3	3	9	8	0	8
7	Emilio Guerra	Mancel, Pauline	US1 Business Unit	Redwood City	United States	26	Yes	Bad workplace culture	No	3/21/2017	3/21/2020	Travel_Frequently	342	Research & Development	2	3	Life Sciences	1	1053	1	Male	57	3	1	Research Scientist	1	Married	2042	15346	6	Y	Yes	14	3	2	80	1	6	2	3	3	2	1	2
1288	Adnan Rashid	Lahiri, Bipul	India Business Unit	Mumbai	India	26	Yes	Personal Reason	Yes	2/26/2021	2/26/2022	Travel_Rarely	1357	Research & Development	25	3	Life Sciences	1	55	1	Male	48	1	1	Laboratory Technician	3	Single	2293	10558	1	Y	No	12	3	3	80	0	1	2	2	1	0	0	1
493	Employee 90					42	No			5/7/2016		Travel_Rarely	674	Research & Development	13	3	Medical	1	1543	1	Male	47	3	2	Research Scientist	4	Married	4285	3031	1	Y	No	17	3	1	80	0	10	2	3	10	8	3	7
1076	Davi Zhao	Britton, Cheryl	US1 Business Unit	Redwood City	United States	37	No			5/7/2025		Travel_Rarely	342	Sales	16	4	Marketing	1	868	4	Male	66	2	2	Sales Executive	3	Divorced	6334	24558	4	Y	No	19	3	4	80	2	9	2	3	1	0	0	0
831	Faiz Al Aseeri	Al Hindi, Ahmed	Bahrain Business Unit	Block 319 Road 1911	Bahrain	20	No			5/7/2024		Travel_Rarely	805	Research & Development	3	3	Life Sciences	1	1198	1	Male	87	2	1	Laboratory Technician	3	Single	3033	12828	1	Y	No	12	3	1	80	0	2	2	2	2	2	1	2
36	Employee 129					23	No			5/7/2023		Travel_Frequently	1302	Research & Development	6	4	Life Sciences	1	1594	1	Male	80	4	2	Laboratory Technician	1	Married	5562	19711	3	Y	Yes	13	3	4	80	1	9	3	3	3	2	0	2
515	Barry James	Santiago, Maria	Federal US Business Unit	Richmond, VA	United States	38	No			5/7/2024		Travel_Rarely	688	Research & Development	23	4	Life Sciences	1	393	4	Male	82	3	2	Healthcare Representative	4	Divorced	5745	18899	9	Y	No	14	3	2	80	1	10	2	3	2	2	1	2
657	Employee 350					40	No			5/7/2025		Travel_Rarely	482	Research & Development	1	2	Life Sciences	1	1893	2	Female	90	2	1	Research Scientist	3	Married	2933	14908	1	Y	Yes	13	3	3	80	1	1	3	2	1	0	1	0
1000	Employee 143					30	No			5/7/2016		Travel_Rarely	1015	Research & Development	5	5	Medical	1	1611	3	Female	50	1	2	Laboratory Technician	1	Single	5769	23447	1	Y	Yes	14	3	1	80	0	10	3	3	10	7	1	4
1209	Elizabeth Torres	Anderson, Patty	Fin Svcs US Business Unit	 	United States	26	Yes	Personal Reason	Yes	12/25/2020	12/25/2022	Non-Travel	265	Sales	29	2	Medical	1	1037	2	Male	79	1	2	Sales Executive	1	Single	4969	21813	8	Y	No	18	3	4	80	0	7	6	3	2	2	2	2
1097	Carlos Meirelles	Cruz, Paulo	Brazil Business Unit	~No Value~	~No Value~	42	No			5/7/2016		Travel_Rarely	319	Research & Development	24	3	Medical	1	605	4	Male	56	3	3	Manufacturing Director	1	Married	7406	6950	1	Y	Yes	21	4	4	80	1	10	5	2	10	9	5	8
1157	Employee 188					35	No			5/7/2013		Travel_Frequently	1189	Research & Development	1	3	Life Sciences	1	1668	4	Male	90	3	2	Research Scientist	4	Married	4735	9867	7	Y	No	15	3	4	80	2	19	4	4	13	11	2	9
1423	Employee 355					34	Yes	Bad workplace culture	No	4/8/2017	4/8/2021	Travel_Rarely	1162	Research & Development	24	2	Life Sciences	1	1907	1	Male	97	3	1	Laboratory Technician	4	Single	2587	10261	1	Y	No	16	3	4	80	0	5	3	3	4	2	1	0
266	Florence Mcintyre	Vasquez, Isra	Professional Services US BU	 	United States	25	No			5/7/2022		Travel_Rarely	1356	Sales	10	4	Life Sciences	1	1240	3	Male	57	3	2	Sales Executive	4	Single	4950	20623	0	Y	No	14	3	2	80	0	5	4	3	4	3	1	1
240	Brant Toms	Garrison, Tom	Progress US Business Unit	Reston	United States	31	No			5/7/2015		Travel_Rarely	1232	Research & Development	7	4	Medical	1	462	3	Female	39	3	3	Manufacturing Director	4	Single	7143	25713	1	Y	Yes	14	3	3	80	0	11	2	2	11	9	4	10
881	Emily Elston	Locke, Anne	US1 Business Unit	Chicago	United States	28	No			5/7/2025		Travel_Rarely	1144	Sales	10	1	Medical	1	1056	4	Male	74	3	1	Sales Representative	2	Married	1052	23384	1	Y	No	22	4	2	80	0	1	5	3	1	0	0	0
123	Gloria Sanchez	Hart, Julian	Supremo US Business Unit	 	United States	56	No			5/7/2007		Travel_Rarely	1369	Research & Development	23	3	Life Sciences	1	1373	4	Male	68	3	4	Manufacturing Director	2	Married	13402	18235	4	Y	Yes	12	3	1	80	1	33	0	3	19	16	15	9
200	Gavin Acuna	Kinney, Kevin	Canada Business Unit	Toronto	Canada	28	No			5/7/2024		Travel_Frequently	193	Research & Development	2	3	Life Sciences	1	1296	4	Male	52	2	1	Laboratory Technician	4	Married	3867	14222	1	Y	Yes	12	3	2	80	1	2	2	3	2	2	2	2
1320	Employee 112					35	Yes	Personal Reason	Yes	5/25/1987	5/25/2020	Travel_Rarely	607	Research & Development	2	5	Technical Degree	1	1572	3	Female	78	2	3	Manufacturing Director	4	Married	10169	14618	0	Y	No	16	3	2	80	1	34	4	3	33	7	1	9
249	Employee 65					29	No			5/7/2021		Travel_Rarely	330	Human Resources	1	3	Life Sciences	1	1499	3	Male	46	3	1	Human Resources	3	Divorced	2064	15428	0	Y	No	21	4	1	80	1	6	3	4	5	3	1	3
1468	Anya Bello	Davidson, Paula	Healthcare US Business Unit	Redwood Shores Hospital	United States	59	No			5/7/2024		Travel_Rarely	818	Human Resources	6	2	Medical	1	321	2	Male	52	3	1	Human Resources	3	Married	2267	25657	8	Y	No	17	3	4	80	0	7	2	2	2	2	2	2
702	Ayesha Agarwal	Slack, Gillian	UK Business Unit	Edinburgh	United Kingdom	28	No			5/7/2021		Travel_Rarely	1158	Research & Development	9	3	Medical	1	377	4	Male	94	3	1	Research Scientist	4	Married	2070	2613	1	Y	No	23	4	4	80	1	5	3	2	5	2	0	4
1123	Gerrit Mastenbroek	Vos, Wim	Netherlands Business Unit	Enschede	Netherlands	44	Yes	Low motivation and job satisfaction	Yes	8/29/2017	8/29/2020	Travel_Rarely	935	Research & Development	3	3	Life Sciences	1	1333	1	Male	89	3	1	Laboratory Technician	1	Married	2362	14669	4	Y	No	12	3	3	80	0	10	4	4	3	2	1	2
